checked_at,mode,resolver_version,license_number,brokerage_name,previous_status,previous_county,previous_confidence,attempted_status,attempted_county,attempted_confidence,selected_status,selected_county,selected_confidence,selection_note,evidence_url,secondary_evidence_url,notes
2026-07-23T16:45:33Z,parallel_15,v7.7,278604-BB,STARKS REALTORS INC,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 1 address candidate(s), but none passed the identity/property gates."
2026-07-23T16:45:43Z,parallel_15,v7.7,150325-BB,THE CRONIN COMPANY REALTORS,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 8 address candidate(s), but none passed the identity/property gates."
2026-07-23T16:45:47Z,parallel_15,v7.7,24753-BB,"RALPH A PORTER CO, INC",,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Search completed (8/8 queries), but no Texas address candidates were extracted."
2026-07-23T16:45:48Z,parallel_15,v7.7,273938-BB,"MIKE BOWMAN, INC",,,,Verified,Tarrant,0.96,Verified,Tarrant,0.96,new result selected,https://www.selectsouthlake.com/places/century-21-mike-bowman-inc-relocation-department/,https://leadiq.com/c/century-21-mike-bowman-inc/5a1d97fe2300005400869b13/email-format,Exact company-name office resolution at stage simple_company; property listings were excluded from office-address selection.
2026-07-23T16:45:49Z,parallel_15,v7.7,271960-BB,"WELDON RIGBY REALTORS, INC.",,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Search completed (8/8 queries), but no Texas address candidates were extracted."
2026-07-23T16:45:52Z,parallel_15,v7.7,210610-BB,CORNERSTONE REAL ESTATE COMPANY,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 2 address candidate(s), but none passed the identity/property gates."
2026-07-23T16:45:53Z,parallel_15,v7.7,257740-BB,"EBBY HALLIDAY REAL ESTATE, LLC",,,,Verified,Collin,0.94,Verified,Collin,0.94,new result selected,https://business.celinachamber.org/active-member-directory/Details/ebby-halliday-real-estate-llc-4551920,https://business.richardsonchamber.com/list/member/ebby-halliday-real-estate-llc-25373,Exact company-name office resolution at stage simple_company; property listings were excluded from office-address selection.
2026-07-23T16:45:54Z,parallel_15,v7.7,246823-BB,S.L.S. PROPERTIES INC,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 1 address candidate(s), but none passed the identity/property gates."
2026-07-23T16:45:54Z,parallel_15,v7.7,198073-BB,"APPLEGATE, INC.",,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Search completed (8/8 queries), but no Texas address candidates were extracted."
2026-07-23T16:45:54Z,parallel_15,v7.7,254328-BB,"REAL ESTATE ENTERPRISES, INC.",,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 1 address candidate(s), but none passed the identity/property gates."
2026-07-23T16:45:58Z,parallel_15,v7.7,263630-BB,B I C REALTY CORP OF TEXAS,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Found 4 candidate(s); 3 reached geocoding, but Census returned no Texas county match."
2026-07-23T16:45:58Z,parallel_15,v7.7,279750-BB,OLDS REALTY INC,,,,Unresolved,,0.0,Unresolved,,0.0,new result selected,,,"Search completed (8/8 queries), but no Texas address candidates were extracted."
